;text;queja;;;
1;Sí, mucha imagen, pero poca #accesibilidad. ¿Dónde está el poner el sistema de voz SIEMPRE? https://t.co/wsUsQNBFYF;0;;;
2;La última campaña de la DGT te hace experimentar un accidente con unas gafas de realidad virtual https://t.co/4MRuKby2FV;0;;;
3;¿Has tenido un accidente? <ed><U+00A0><U+00BD><ed><U+00BA><U+0097> ¿Estás bien? ¡Es lo más importante! Rellenar el parte amistoso es muy fácil<ed><U+00A0><U+00BD><ed><U+00B3><U+009D>. Si no, <ed><U+00A0><U+00BD><ed><U+00B3><U+009E>… https://t.co/BfKu10VrQ2;0;;;
4;#1deMayo Salud y Seguridad laboral: cada 15 minutos se produce una baja por accidente o enfermedad laboral. https://t.co/F69v4Ym80L;0;;;
5;Ayrton Senna murió hace 23 años https://t.co/HlCMugO0gT;0;;;
6;Cinco heridos en un accidente en la AP68 en Kuartango https://t.co/882Ttx3xmW;0;;;
7;Cinco heridos en un accidente en la AP68 tras el vuelco de un vehículo (foto @bomberoseuskadi) https://t.co/VPpHuKfVOG;0;;;
8;UELI STECK MUERE EN UN ACCIDENTE EN HIMALAYA. Intentaba una nueva travesía Everest-Lhotse. https://t.co/bggoXmvMHk;0;;;
9;No llevar el casco bien abrochado aumenta la posibilidad de que lo pierdas y te provoque un grave accidente… https://t.co/sQuyOH6wMb;0;;;
10;.@radio_vitoria Hablamos con Marian Izagirre, portavoz de @AChernobil del accidente que dejó la región devastada y… https://t.co/2xdLS1xjKY;0;;;
11;Y en unos minutos recordamos en @radio_vitoria en @ElMiradorRV que hoy hace 31 años del mayor accidente nuclear de la historia, en Chernobil;0;;;
12;#TalDiaComoHoy en 1986, se produce el accidente nuclear de la central ucraniana de Chernóbil.;0;;;
13;Que mal lo paso con los videos de 'Abraham Mateo murió, o tuvo un accidente' o los de 'Abrahamers dentro de 10 años' me lo imagino y<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0094>;0;;;
14;#Euskadi El comité de Limpiezas Impacto convoca un paro de 24 horas por el accidente en el que murió un trabajador… https://t.co/DMqlIxvrVg;0;;;
15;@pablocarranza23 Buena historia y superación la de este muchacho tras el accidente que tuvo. Espero verle el año qu… https://t.co/xul0EjJJxr;0;;;
16;https://t.co/4KRy5zQ8N2;0;;;
17;El aparcabicis de la Estación de Autobuses se abrirá en junio https://t.co/kmsVKNOs0S;0;;;
18;<ed><U+00A0><U+00BD><ed><U+00BA><U+008D><ed><U+00A0><U+00BD><ed><U+00BA><U+00B2> El aparcabicis de pago de la estación de Autobuses ya está colocado https://t.co/kmsVKNOs0S;0;;;
19;Concluye la instalación del aparcabicis de la Estación de Autobuses https://t.co/lHJZInXNIZ;0;;;
20;<ed><U+00A0><U+00BD><ed><U+00BA><U+008D><ed><U+00A0><U+00BD><ed><U+00BA><U+00B2> El aparcabicis de la estación de Autobuses ya está instalado https://t.co/kmsVKNOs0S;0;;;
21;En mi opinión, con un desafortunado modelo de aparcabicis, donde que te tiren la bici es doblar la llanta, lo digo… https://t.co/YWY94rBpcd;0;;;
22;Acceso desde las dársenas al aparcabicis de la estación de Bus. Con clave de acceso y giratoria para solo salir con… https://t.co/j4M0OokLnH;0;;;
23;Jdr chacho que asco de dia llevo, igual si que acabo matando a alguien <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>;0;;;
24;Qué Asco<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>ver a Páramo.Se nota n la cara la inmensa <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9> q son.Y vago tú, y mentiroso,cínico y facha camuflado.Lávate la boca para hablar d P's.;0;;;
25;Pero que asco, toca ir a la escuela &gt;;;;
26;La NBA se ha convertido en constantes concursos de triples. Warriors, Rockets y Cavs son los equipos que más asco me dan ahora mismo;0;;;
27;Que puto asco da el baloncesto moderno, la táctica es solo tirar triples...;0;;;
28;QUEEE COÑOOO , HIJO DE PUTA <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> Menudo asco te estoy comiendo Elías <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4><ed><U+00A0><U+00BD><ed><U+00B8><U+0091>#SeQuienEresFinal;0;;;
29;@ACAB_85 Por votar a Bildu me tiene que dar asco? Yo voto a Bildu también.;0;;;
30;Puto asco https://t.co/MToKxmQfcQ;0;;;
31;que asco España, sinceramente;0;;;
32;La peli de Fairy tail se estrenara en mi querido Ecuador y yo aqui en españa donde no hay nada de eso. Que asco de vida;0;;;
33;@salvameoficial @fabricatele Por favor dejar a las campos en casa de una puñetera vez ,  primero aburren y según as… https://t.co/h5cCfMFgzq;0;;;
34;@Sr_PeterGh claro por eso estan todos juntos , misma sobervia , prepontecia y chuleria . medan asco todos.;0;;;
35;@JosephF198 STROLL JOJOOJOJO. Que asco le estoy cogiendo <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>;0;;;
36;@ahorapodemos @Pablo_Iglesias_ Eres la manipulacion en persona !! Tu con otegui que justifica asesinatos!! Das asco !!;0;;;
37;POR QUÉ LA GENTE NO LE ESTÁ DANDO IMPORTANCIA A LA SERIE DE 'QUERIDOS BLANCOS' IGUAL QUE SE LA HAN DADO A LA DE '13 REASONS WHY';;;;
"asco""";0;;;;
38;Recuerdo esto, qué puto asco. https://t.co/vSt0pxewz2;0;;;
39;Yo no entiendo a las personas que dicen que les da asco alguien y luego estan super pendientes ella<ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>;0;;;
40;yo no daba tanto asco;0;;;
41;que asco;0;;;
42;@A3Noticias Pues que asco;0;;;
43;Que asco de gente me dan ganas de arrancarles la cabeza para que no puedan volver a tocar el lol xD https://t.co/VDEjIF7Z50;0;;;
44;Esa mierda del fondo es júndiz, y sobra mazo. Qué asco de humanos.;0;;;
45;Que asco de pavo, odio a la gente como el que solo quiere satisfacerse a si mismo y solo piensan en ell@s https://t.co/IvGgfE8Oqk;0;;;
46;@LeaderPeridot @asadafyo Cóooomo pero si tengo cara de asco suprema jajsjdjdjd eres tan linda te quiero Nana pffff;0;;;
47;Que asco de puto mundo.;0;;;
48;@ACAB_85 Un chaval en una cafetería con su pobre perro es un guarro. Deja de dar asco anda. Al menos la de murcia se sabe que es  una cerda.;0;;;
49;Y era maravillosa y no me acuerdo de su cuenta y mierda joder qué asco de todo;0;;;
50;Qué puto asco doy joder;0;;;
51;que asco das david;0;;;
52;He puesto «catado» por no repetir «escuchado» y TÓ EL ASCO PA MI.;0;;;
53;Puta mafia que nos esta gobernando en este país. Y todos cómplices. Que asco de verdad. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>;0;;;
54;".@CovitePV , los ""antipaz"".";;;;
"#asco  https://t.co/senks13hEi""";0;;;;
55;Lamentable, de verdad. Que asco da la humanidad, en serio. <ed><U+00A0><U+00BD><ed><U+00B8><U+0094> https://t.co/8RpNnOsOJr;0;;;
56;@LordOfTheLords @passe_picat @susanita177 Asco no es la palabra, la palabra es PENA. Tener que valorar a tu equipo… https://t.co/wg6BAdtOxL;0;;;
57;Mis tweets no gustan, solo mis retweets, RT a eso, a mi también me dais asco <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>;0;;;
58;Damos bien de asco.;0;;;
59;Damos mucho asco, comento.;0;;;
60;joder pero que puto asco https://t.co/s1911pBYck;0;;;
61;@DebatAlRojoVivo DA ASCO, LEER ESTO, ESTAMOS MUY JODIDOS, SI NO TENEMOS MAS REMEDIO QUE AGUANTAR ESTAS INJUSTICIAS,… https://t.co/aLcSbhosG5;0;;;
62;Asco viendo todo lo de los Pujol.;0;;;
63;Qué asco de tiempo y qué asco de día para estar decepcionado y triste.;0;;;
64;@EuroLeague ya tenéis a uno de los candidatos que queríais a parte del Fenerbache. ASCO!!! @cskabasket que hace Itoudis?? Intentar provocar?;0;;;
65;Sois una competición corrupta, adulterada, sucia, dais muchísimo asco con estos arbitrajes @EuroLeague Cerdos.;0;;;
66;@EuroLeague DAIS ASCO;0;;;
67;@EuroLeague Sois la mayor basura y mierda que ha habido en el mundo. Dais mucho asco. Escoria, sinvergüenzas;0;;;
68;Una veces más! Que asco de organización!! @EuroLeague;0;;;
69;Sin palabras. Sinceramente, el mundo va dando cada vez más asco. #stopchechenia @The_Tripletz ;;;;
"@SergiPedrero… https://t.co/MNidcFERsK""";0;;;;
70;@epf_90 @ion_gomez No me podéis dar más asco...<ed><U+00A0><U+00BD><ed><U+00B8><U+00A3>;0;;;
71;@BurbujitaAzul83 @A3Noticias Jjajajajaja el pueblo de mis cojones, podemonguers y poco mas, y mira que el pp me da… https://t.co/cnc29OfApJ;0;;;
72;"@lauramarimola Asco, miedo, sufrimiento, ""amor""... ^^";0;;;
73;.@CovitePV da asco. #ASCO #EnemigosDeLaPaz #PopatikHartzera  https://t.co/HmeII1wQKG;0;;;
74;Hoy la gente ha estado 24/7 sacandose tabas y NO ENTIENDEN QUE ME DAN ASCO <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>;0;;;
75;Ver al presidente de #laliga hablando sobre su equipo es escandaloso. Seguid votando a ese ser...;;;;
"Qué asco y qué pena de liga.""";0;;;;
76;que asco el olor a lluvia;0;;;
77;"""Tener en el Valle de los Caídos al mayor asesino debajo de una cruz es un asco y una vergüenza"" https://t.co/YTIqaDQWmw";0;;;
78;@Nsuprem Lo haría si no me diera tantísimo asco oír cómo cruje. Te juro que no puedo pisar una por el repelús que m… https://t.co/mLJxW4TYqy;0;;;
79;@Nsuprem No se qué especie es esta y no voy a acercarme para averiguarlo los bicho me dan mucho asco;0;;;
80;@_Sr_D_ Qué asco, en serio... ni los animales son así, joder.;0;;;
81;@Hacharma213 Que me da mucho asco;0;;;
82;@eldiarioes #Franco ¿Un  asco? Es un homenaje a un dictador, golpista y asesino. Como si en Alemania o Italia hubie… https://t.co/KK7w3FErnG;0;;;
83;Que asco da Raúl García <ed><U+00A0><U+00BE><ed><U+00B4><U+00A2><ed><U+00A0><U+00BE><ed><U+00B4><U+00A2><ed><U+00A0><U+00BE><ed><U+00B4><U+00A2>;0;;;
84;Qué puto asco macho. https://t.co/1OViSou7aZ;0;;;
85;Qué asco de semana<ed><U+00A0><U+00BE><ed><U+00B4><U+00A2> menos mal que a partir de jueves mejora<ed><U+00A0><U+00BD><ed><U+00B9><U+0083>;0;;;
86;¿Cómo me puede llegar a dar tanto asco una persona? Preguntooo.;0;;;
